crimetype,abs_diff_g,abs_diff_c,diff_abs_diff,ustd_w_test_p_value,ustd_t_test_p_value,abs_diff_g_per_km2,abs_diff_c_per_km2,std_abs_diff_g_per_km2,std_abs_diff_c_per_km2,diff_std_diff_per_km2,std_w_test_p_value,std_t_test_p_value
agg_ass,0.03664614482556435,-0.06245196003074558,0.09909810485630993,0.003138889656414062,2.40495918565301e-4,2.3805775894898162,-4.056954344763525,4.5062323244517435,-2.3640437313482394,6.870276055799983,2.7394275569747907e-5,1.0249167972981374e-4
burg,-0.06420404573438875,-0.13105303612605687,0.06684899039166813,0.05313371640129349,0.009602227015261523,-4.170771936786157,-8.51336265578069,-1.8501798519584756,-2.446468800068263,0.5962889481097875,0.5143367969073607,0.7182164277115138
disord,-0.05716798592788039,-0.04349218549833461,-0.013675800429545776,0.002714122756881955,0.590115947378267,-3.7137010396041132,-2.82530461548147,-2.3497106960610172,0.3287614657063809,-2.678472161767398,0.9955643802244959,0.09619815795879444
homi,0.010554089709762533,4.483730463745839e-4,0.01010571666338795,0.6598011896153892,0.06249655594093393,0.685606345773067,0.029126851705994525,0.8262886715062628,0.057742706013638276,0.7685459654926245,0.012122316829246887,0.030087478384407944
pub_dr,0.005716798592788039,-0.0026261849859082757,0.008342983578696315,0.01959918857484409,0.019303158847481773,0.3713701039604113,-0.17060013142082514,0.2405869405250858,-0.2968759071156019,0.5374628476406877,0.5999208096790578,0.02122928223167067
robb,-0.11624157138669013,-0.04522162439149372,-0.0710199469951964,6.442577514278519e-4,3.6023915758318526e-4,-7.551192113861696,-2.937651043490306,-5.028809412962042,-0.5115423490646369,-4.517267063897405,0.03550088652105121,5.397046475391887e-4
thefts,-0.04939900322486075,-0.009607993850883937,-0.03979100937397682,0.05483070521474234,0.2619777476582457,-3.209018590632272,-0.6241468222713115,-2.5768047831086682,0.3016259759547563,-2.8784307590634244,0.06021914097614882,0.2153698433664392
vio,-0.06904133685136324,-0.10722521137586472,0.03818387452450148,0.16416673307343854,0.2661922372001016,-4.485008178598814,-6.9654785365478356,0.30371158299596396,-2.817843374399238,3.121554957395202,0.05652241853777799,0.1653332168958727
nonvio,-0.16505423629434185,-0.18677940046118371,0.021725164166841865,0.3493957628999198,0.6768989733246465,-10.72212146306213,-12.133414224954295,-6.536108390603075,-2.1129572655227276,-4.423151125080347,0.47726392976740967,0.18500422695922863
all,-0.2340955731457051,-0.2940046118370484,0.059909038691343314,0.21095846126254264,0.3618601200162962,-15.207129641660945,-19.098892761502132,-6.232396807607111,-4.930800639921967,-1.301596167685144,0.9910008728756439,0.7583789308847833
