address,season,year,sq_ft,org,clc_group
1927 N 19TH ST,Spring,2017,17460,spring17stabilization,
1933 N 19TH ST,Spring,2017,17460,spring17stabilization,
1931 N 19TH ST,Spring,2017,17460,spring17stabilization,
1939 N 19TH ST,Spring,2017,17460,spring17stabilization,
1929 N 19TH ST,Spring,2017,17460,spring17stabilization,
1935 N 19TH ST,Spring,2017,17460,spring17stabilization,
1937 N 19TH ST,Spring,2017,17460,spring17stabilization,
1941 N 19TH ST,Spring,2017,17460,spring17stabilization,
1943 N 19TH ST,Spring,2017,17460,spring17stabilization,
1945 N 19TH ST,Spring,2017,17460,spring17stabilization,
6156 REINHARD ST,Spring,2017,4884,spring17stabilization,
6158 REINHARD ST,Spring,2017,4884,spring17stabilization,
6164 REINHARD ST,Spring,2017,4884,spring17stabilization,
6166 REINHARD ST,Spring,2017,4884,spring17stabilization,
6160 REINHARD ST,Spring,2017,4884,spring17stabilization,
6170 REINHARD ST,Spring,2017,4884,spring17stabilization,
6168 REINHARD ST,Spring,2017,4884,spring17stabilization,
6172 REINHARD ST,Spring,2017,4884,spring17stabilization,
6162 REINHARD ST,Spring,2017,4884,spring17stabilization,
6174 REINHARD ST,Spring,2017,4884,spring17stabilization,
7101-09 STENTON AVE,Spring,2017,10792,spring17stabilization,
6176 REINHARD ST,Spring,2017,4884,spring17stabilization,
2021 S 62ND ST,Spring,2017,4884,spring17stabilization,
1802 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1804 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1808 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1806 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1812 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1810 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1814 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1816 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1818 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1820 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1824 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1826 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1822 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1830 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1828 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1834 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1832 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1836 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1838 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1840 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
1842 N FRANKLIN ST,Spring,2017,83604,spring17stabilization,
724 W BERKS ST,Spring,2017,83604,spring17stabilization,
720 W BERKS ST,Spring,2017,83604,spring17stabilization,
722 W BERKS ST,Spring,2017,83604,spring17stabilization,
726 W BERKS ST,Spring,2017,83604,spring17stabilization,
728 W BERKS ST,Spring,2017,83604,spring17stabilization,
730 W BERKS ST,Spring,2017,83604,spring17stabilization,
1807 N 8TH ST,Spring,2017,83604,spring17stabilization,
1809 N 8TH ST,Spring,2017,83604,spring17stabilization,
1805 N 8TH ST,Spring,2017,83604,spring17stabilization,
1811 N 8TH ST,Spring,2017,83604,spring17stabilization,
1813 N 8TH ST,Spring,2017,83604,spring17stabilization,
1817 N 8TH ST,Spring,2017,83604,spring17stabilization,
1819 N 8TH ST,Spring,2017,83604,spring17stabilization,
1823 N 8TH ST,Spring,2017,83604,spring17stabilization,
1825 N 8TH ST,Spring,2017,83604,spring17stabilization,
1827 N 8TH ST,Spring,2017,83604,spring17stabilization,
1829 N 8TH ST,Spring,2017,83604,spring17stabilization,
1833 N 8TH ST,Spring,2017,83604,spring17stabilization,
1831 N 8TH ST,Spring,2017,83604,spring17stabilization,
1821 N 8TH ST,Spring,2017,83604,spring17stabilization,
1835 N 8TH ST,Spring,2017,83604,spring17stabilization,
1837 N 8TH ST,Spring,2017,83604,spring17stabilization,
1839 N 8TH ST,Spring,2017,83604,spring17stabilization,
1803 N 8TH ST,Spring,2017,83604,spring17stabilization,
1847 N 8TH ST,Spring,2017,83604,spring17stabilization,
1841-45 N 8TH ST,Spring,2017,83604,spring17stabilization,
1849 N 8TH ST,Spring,2017,83604,spring17stabilization,
1851 N 8TH ST,Spring,2017,83604,spring17stabilization,
1853 N 8TH ST,Spring,2017,83604,spring17stabilization,
1855 N 8TH ST,Spring,2017,83604,spring17stabilization,
1857 N 8TH ST,Spring,2017,83604,spring17stabilization,
741 W MONTGOMERY AVE,Spring,2017,83604,spring17stabilization,
743 W MONTGOMERY AVE,Spring,2017,83604,spring17stabilization,
1861 N 8TH ST,Spring,2017,83604,spring17stabilization,
1859 N 8TH ST,Spring,2017,83604,spring17stabilization,
1926 N 6TH ST,Spring,2017,40859,spring17stabilization,
1922 N 6TH ST,Spring,2017,40859,spring17stabilization,
1920 N 6TH ST,Spring,2017,40859,spring17stabilization,
1924 N 6TH ST,Spring,2017,40859,spring17stabilization,
1932 N 6TH ST,Spring,2017,40859,spring17stabilization,
1930 N 6TH ST,Spring,2017,40859,spring17stabilization,
1934 N 6TH ST,Spring,2017,40859,spring17stabilization,
1928 N 6TH ST,Spring,2017,40859,spring17stabilization,
1936 N 6TH ST,Spring,2017,40859,spring17stabilization,
1938 N 6TH ST,Spring,2017,40859,spring17stabilization,
1940 N 6TH ST,Spring,2017,40859,spring17stabilization,
1944 N 6TH ST,Spring,2017,40859,spring17stabilization,
1948 N 6TH ST,Spring,2017,40859,spring17stabilization,
1946 N 6TH ST,Spring,2017,40859,spring17stabilization,
1943 N MARSHALL ST,Spring,2017,40859,spring17stabilization,
1945 N MARSHALL ST,Spring,2017,40859,spring17stabilization,
1947 N MARSHALL ST,Spring,2017,40859,spring17stabilization,
1951 N MARSHALL ST,Spring,2017,40859,spring17stabilization,
1949 N MARSHALL ST,Spring,2017,40859,spring17stabilization,
1953 N MARSHALL ST,Spring,2017,40859,spring17stabilization,
608 W NORRIS ST,Spring,2017,40859,spring17stabilization,
509 W DAUPHIN ST,Spring,2017,9650,spring17stabilization,
610 W NORRIS ST,Spring,2017,40859,spring17stabilization,
513 W DAUPHIN ST,Spring,2017,9650,spring17stabilization,
511 W DAUPHIN ST,Spring,2017,9650,spring17stabilization,
515 W DAUPHIN ST,Spring,2017,9650,spring17stabilization,
1942 N 6TH ST,Spring,2017,40859,spring17stabilization,
1950 N 6TH ST,Spring,2017,40859,spring17stabilization,
2303 N REESE ST,Spring,2017,9650,spring17stabilization,
2305 N REESE ST,Spring,2017,9650,spring17stabilization,
2307 N REESE ST,Spring,2017,9650,spring17stabilization,
2309 N REESE ST,Spring,2017,9650,spring17stabilization,
517 W DAUPHIN ST,Spring,2017,9650,spring17stabilization,
601 W CUMBERLAND ST,Spring,2017,7950,spring17stabilization,
2252 N 9TH ST,Spring,2017,57376,spring17stabilization,
2242-50 N 9TH ST,Spring,2017,57376,spring17stabilization,
2216-40 N 9TH ST,Spring,2017,57376,spring17stabilization,
605 W CUMBERLAND ST,Spring,2017,7950,spring17stabilization,
607 W CUMBERLAND ST,Spring,2017,7950,spring17stabilization,
603 W CUMBERLAND ST,Spring,2017,7950,spring17stabilization,
613 W CUMBERLAND ST,Spring,2017,7950,spring17stabilization,
615 W CUMBERLAND ST,Spring,2017,7950,spring17stabilization,
617 W CUMBERLAND ST,Spring,2017,7950,spring17stabilization,
641 W CUMBERLAND ST,Spring,2017,6505,spring17stabilization,
643 W CUMBERLAND ST,Spring,2017,6505,spring17stabilization,
611 W CUMBERLAND ST,Spring,2017,7950,spring17stabilization,
